"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.736714755222399","0.724871378854553","0.7315347547269","0.755492387508447","0.763441798638653","0.766910194830636","0.754936217421868","0.756408283349344","0.762079598038587","0.71314379164479","0.699404806242265","0.744795037998937","0.737367311437577","0.754122504535342","0.766492649438845","0.723935542470374","0.689568719474276","0.675877067263125","0.692303688521823","0.664507160355871","0.666880737443383","0.63428974440983","0.654404111089716","0.652929843933131","0.653314617086628","0.617970688442435","0.608702832611292","0.604369638281732","0.597477900613844","0.5972675800188","0.548292618294358","","",
"Afghanistan","AFG","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.194089030656608","0.210137494757248","0.161973360884985","0.221050804860854","0.244245889551051","0.267584117519092","0.39561335120243","0.488517581814659","0.558539001391434","0.775734739910207","0.587129996122883","0.512086883925587","0.492104752092445","0.525633607380742","0.475037831793573","0.49902694689923","0.539886361700707","0.532180028718625","0.422339640308658","","",
"Africa Western and Central","AFW","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.373517327611463","0.42023503160131","0.450194478056552","0.43084272884938","0.3989655421405","0.428261623573383","0.472862239852973","0.453778272665315","0.422628267102347","0.424774430899397","0.436468700192606","0.436194496414341","0.372085744082782","0.376798573472512","0.352585330628372","0.338273487058208","0.304604513638679","0.279798766395633","0.2771524763422","0.251500041265582","0.264242119230272","0.261378918182978","0.255898045083842","0.264013907486238","0.262417134323771","0.252662081291713","0.261436469894499","0.254516335657306","0.25991494043189","0.266646833450065","0.260632170086954","","",
"Angola","AGO","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.237207776023582","0.238826017489095","0.261340362514528","0.46338914645791","0.557329996207913","0.54559894613638","0.583382449485063","0.568914808587274","0.564042311791788","0.579828473521715","0.517630451418614","0.48912727486591","0.423136306239573","0.439010093741611","0.411939882651502","0.324416201363256","0.304573239891622","0.273725264413977","0.279729792206381","0.304246998357364","0.314259408091946","0.317890683601267","0.292900143550506","0.31521071310969","0.330288160021652","0.34972543423275","0.334847931057623","0.28472443928458","0.272091549859373","0.282658076963981","0.243423785164054","","",
"Albania","ALB","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14800443157321","1.08385349007093","0.634774569182968","0.537757754338139","0.498036488477834","0.411321694965046","0.380279079155583","0.320857508977022","0.359682777948881","0.527093200658393","0.526073115833444","0.493051140791168","0.548610715868099","0.571760592095786","0.566094296343751","0.508349024959789","0.478362918269786","0.470885119372571","0.433002491615643","0.43474429428405","0.459242221724105","0.480719298004111","0.419105693954979","0.438117242071701","0.465721957744502","0.421275303403665","0.388734582169075","0.442502762717986","0.418508016115456","0.385056827331948","0.349551630995254","","",
"Andorra","AND","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.248287452192594","0.242122992277382","0.239893864804221","0.244577853170294","0.236751893246266","0.24077696426799","0.24594640696256","0.230954524399526","0.236140112619012","0.236998783325314","0.233827062614635","0.216267528351869","0.209755982307622","0.194308958590514","0.188305236931667","0.183332343770641","0.166007771351175","0.161274581444774","0.170767886513625","0.172970108095123","0.176455020641064","0.167708375963756","0.175170582981074","0.177516952028167","0.167851118574215","0.166791249622392","0.162091493944691","0.160270502990031","0.167701892904616","0.159517790862965","0.167967544720714","","",
"Arab World","ARB","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.655403907353549","0.642100232633235","0.662946371132498","0.692130833309425","0.709871726942234","0.710030446655612","0.701887048617041","0.702832063634117","0.672392261463806","0.669012076942545","0.653893394741777","0.678141981900729","0.696181729230375","0.683700497666164","0.662032209453168","0.670400483577336","0.665341723440364","0.662500258132905","0.678418198398071","0.69856866178145","0.706813108968666","0.69838812560049","0.71225914313825","0.707628757050745","0.715007644456484","0.707857750858983","0.689651822593718","0.687039587923974","0.664544772188609","0.662627861685036","0.667312183582895","","",
"United Arab Emirates","ARE","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.434244852020183","0.480089274021282","0.450505326289649","0.474086108047771","0.493410339003171","0.491145889857421","0.484989246479855","0.464900225427827","0.474979847987268","0.473919579455862","0.422778125316243","0.478295732128726","0.476299978284092","0.458412141805727","0.44332084090693","0.447568761094499","0.425358803073098","0.447055377690877","0.512796021870169","0.544551826577477","0.555653043376962","0.535482857575449","0.554470080016676","0.555644370584554","0.53826579320907","0.527740604129456","0.512700818013258","0.48746454553318","0.436735526308992","0.460275271753448","0.490654240813271","","",
"Argentina","ARG","Access to electricity (kg per 2015 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.377379250745806","0.365076093389401","0.344663438085316","0.325415160511584","0.312081371926561","0.324024535906563","0.333327841536192","0.317308873661686","0.321416290799165","0.337273113354433","0.334302577953234","0.331185396990784","0.348552811222268","0.348038133246659","0.35353035553382","0.33539293309284","0.329383540392995","0.317579687182823","0.313466419488684","0.311938987884958","0.302541621976453","0.301475125372644","0.306866969245738","0.308584546831977","0.310224638675334","0.311980198296642","0.314502189116929","0.299382162815979","0.303359806261571","0.294272085143803","0.300142941419535","","",
